Posting Type,# Of Positions,Business Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit
External,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,48535,134433,Annual,96-05 Horace Harding Expway,Plant Construction
Internal,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,48535,134433,Annual,96-05 Horace Harding Expway,Plant Construction
Internal,1,Project Manager,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,47974,55170,Annual,96-05 Horace Harding Expway,OGI-BEDC
External,1,Project Manager,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,47974,55170,Annual,96-05 Horace Harding Expway,OGI-BEDC
Internal,2,LEAD DESIGNER FOR WATER TUNNEL STRUCTURAL,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,74990,104182,Annual,96-05 Horace Harding Expway,Water Supply/Design Div (WRD)
External,2,LEAD DESIGNER FOR WATER TUNNEL STRUCTURAL,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,74990,104182,Annual,96-05 Horace Harding Expway,Water Supply/Design Div (WRD)
Internal,1,Civil Engineer III,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
External,1,Civil Engineer III,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
External,1,Civil Section Manager,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,67060,178873,Annual,96-05 Horace Harding Expway,Structural Section Plants
Internal,1,Civil Section Manager,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,67060,178873,Annual,96-05 Horace Harding Expway,Structural Section Plants
External,1,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,76288,95077,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,76288,95077,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,5,Emergency Manager,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,60000,70000,Annual,96-05 Horace Harding Expway,Water Supply/Field Oper Mgt
Internal,5,Emergency Manager,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,60000,70000,Annual,96-05 Horace Harding Expway,Water Supply/Field Oper Mgt
Internal,2,Electrical Engineer 1,"Engineering, Architecture, & Planning",F,63074,91347,Annual,96-05 Horace Harding Expway,Electrical Engineering - IFA
External,2,Electrical Engineer 1,"Engineering, Architecture, & Planning",F,63074,91347,Annual,96-05 Horace Harding Expway,Electrical Engineering - IFA
Internal,4,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,"182 Joline Ave, Staten Isl",Blue Belt Unit
External,4,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,"182 Joline Ave, Staten Isl",Blue Belt Unit
External,1,Mechanical Engineer 3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,East River & Movable
Internal,1,Mechanical Engineer 3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,East River & Movable
Internal,2,Civil Engineer 3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Bridges Roadways
External,2,Civil Engineer 3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Bridges Roadways
Internal,1,Deputy Director of Payroll and Timekeeping,Administration & Human Resources,F,63817,95022,Annual,59-17 Junction Blvd Corona Ny,Administration/Payroll Office
Internal,1,Clerical Supervisor (ICSU),Administration & Human Resources,F,33875,54879,Annual,"100 Church St., N.Y.",Family Court: New York
Internal,1,CONTRACTS ATTORNEY,"Legal Affairs Policy, Research & Analysis",F,57944,70353,Annual,59-17 Junction Blvd Corona Ny,ACCO Office
External,1,CONTRACTS ATTORNEY,"Legal Affairs Policy, Research & Analysis",F,57944,70353,Annual,59-17 Junction Blvd Corona Ny,ACCO Office
Internal,7,Staff Analyst,Administration & Human Resources,,48620,66195,Annual,130-30 28th Ave,Specialized Training Section
Internal,7,Staff Analyst,Administration & Human Resources,,48620,66195,Annual,130-30 28th Ave,Specialized Training Section
External,1,Deputy Director of Field Operations,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,75338,194395,Annual,96-05 Horace Harding Expway,Water Supply/Mgmt Support
Internal,1,Deputy Director of Field Operations,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,75338,194395,Annual,96-05 Horace Harding Expway,Water Supply/Mgmt Support
Internal,1,Supervisor for Leaves and Supplementary Benefits,Administration & Human Resources,,49748,75000,Annual,75 Park Place New York Ny,Human Resources
Internal,1,Administrative Transportation Coordinator M-I,Administration & Human Resources,,54643,150371,Annual,34-02 Queens Boulevard Long Is,Tf. Eng./Elect Shop
External,1,Administrative Transportation Coordinator M-I,Administration & Human Resources,,54643,150371,Annual,34-02 Queens Boulevard Long Is,Tf. Eng./Elect Shop
External,1,PLASTERER (HOUSING AUTH-40 HRS,Building Operations & Maintenance,F,44.82,44.82,Hourly,Queens-SI Floating Staff,Queens/SI Property Mgmt
Internal,1,PLASTERER (HOUSING AUTH-40 HRS,Building Operations & Maintenance,F,44.82,44.82,Hourly,Queens-SI Floating Staff,Queens/SI Property Mgmt
Internal,2,Policy Advisor,"Policy, Research & Analysis",F,55000,80000,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty
External,2,Policy Advisor,"Policy, Research & Analysis",F,55000,80000,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty
Internal,1,Supervisor Watershed Maintenance I,Building Operations & Maintenance,F,58786,71502,Annual,"182 Joline Ave, Staten Isl",Blue Belt Unit
Internal,1,Hiring Plan Analyst,"Administration & Human Resources Policy, Research & Analysis",F,65731,97873,Annual,55 Water St Ny Ny,Personnel
Internal,2,Electrician,Building Operations & Maintenance,F,343,343,Daily,"88-20 Pitkin Ave., Ozone Park",Facilities Management
Internal,2,Electrician,Building Operations & Maintenance,F,343,343,Daily,"88-20 Pitkin Ave., Ozone Park",Facilities Management
External,1,Admin Engineer (NM),"Engineering, Architecture, & Planning",F,49990,136023,Annual,55 Water St Ny Ny,Bridge Repair/Flags
Internal,1,Admin Engineer (NM),"Engineering, Architecture, & Planning",F,49990,136023,Annual,55 Water St Ny Ny,Bridge Repair/Flags
External,1,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Preventive Maintenance
Internal,1,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Preventive Maintenance
Internal,1,QUALITY ASSURANCE SPECIALIST,Building Operations & Maintenance,F,55000,64357,Annual,59-17 Junction Blvd Corona Ny,Motor Maintenance
External,1,QUALITY ASSURANCE SPECIALIST,Building Operations & Maintenance,F,55000,64357,Annual,59-17 Junction Blvd Corona Ny,Motor Maintenance
External,1,Deputy Director for Engineering,"Engineering, Architecture, & Planning",P,115000,130000,Annual,Design-Engineering,Design Department
Internal,1,Deputy Director for Engineering,"Engineering, Architecture, & Planning",P,115000,130000,Annual,Design-Engineering,Design Department
Internal,2,IT Support Technician,"Technology, Data & Innovation",F,47692,69493,Annual,96-05 Horace Harding Expway,WSO-Executive/Tech Mgmt Office
External,2,IT Support Technician,"Technology, Data & Innovation",F,47692,69493,Annual,96-05 Horace Harding Expway,WSO-Executive/Tech Mgmt Office
External,1,PORTFOLIO MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",,75338,194395,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
Internal,1,PORTFOLIO MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",,75338,194395,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
External,1,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,96-05 Horace Harding Expway,Structural Engineering - IFA
Internal,1,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,96-05 Horace Harding Expway,Structural Engineering - IFA
Internal,1,"Deputy Director of Support and Special Services, M-II","Administration & Human Resources Public Safety, Inspections, & Enforcement",F,60435,161497,Annual,"28-11 Queens Plaza No., L.I.C.",School Safety Div/Civ & Cadet
External,1,Civil Engineer 3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Engineering Review & Support
Internal,1,Civil Engineer 3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Engineering Review & Support
Internal,1,EHS Management Systems Specialist,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",,62493,94549,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection
External,1,EHS Management Systems Specialist,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",,62493,94549,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection
External,1,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Engineering Review & Support
Internal,1,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Engineering Review & Support
External,5,Stationary Engineer (Electric),Building Operations & Maintenance,F,94983.12,94983.12,Annual,"65-10 Douglaston Pkwy., Queens",Douglaston Pump Station
Internal,5,Stationary Engineer (Electric),Building Operations & Maintenance,F,94983.12,94983.12,Annual,"65-10 Douglaston Pkwy., Queens",Douglaston Pump Station
External,2,BUYER,"Finance, Accounting, & Procurement",F,50362,78177,Annual,59-17 Junction Blvd Corona Ny,Administration/Procurement
Internal,2,BUYER,"Finance, Accounting, & Procurement",F,50362,78177,Annual,59-17 Junction Blvd Corona Ny,Administration/Procurement
Internal,1,"Director, Central Records Division",Administration & Human Resources,F,67060,178873,Annual,"1 Police Plaza, N.Y.",Support Svcs Bureau Civ and Ca
External,4,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation
Internal,4,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation
External,1,"Assistant Commissioner, Capital Planning & Delivery","Engineering, Architecture, & Planning Finance, Accounting, & Procurement Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,175000,190000,Annual,96-05 Horace Harding Expway,Administration
Internal,1,"Assistant Commissioner, Capital Planning & Delivery","Engineering, Architecture, & Planning Finance, Accounting, & Procurement Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,175000,190000,Annual,96-05 Horace Harding Expway,Administration
Internal,1,"Engineer-In-Charge, Contract Support Unit","Engineering, Architecture, & Planning",F,74990,104182,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
External,1,"Engineer-In-Charge, Contract Support Unit","Engineering, Architecture, & Planning",F,74990,104182,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
External,1,"Engineer-In-Charge, Survey and Investigations Unit","Engineering, Architecture, & Planning",F,74990,104182,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
Internal,1,"Engineer-In-Charge, Survey and Investigations Unit","Engineering, Architecture, & Planning",F,74990,104182,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
External,1,"Engineer-In-Charge, Engineering and Metrics Unit","Engineering, Architecture, & Planning",F,74990,104182,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
Internal,1,"Engineer-In-Charge, Engineering and Metrics Unit","Engineering, Architecture, & Planning",F,74990,104182,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
Internal,1,Data Support Analyst,"Technology, Data & Innovation",F,80000,100000,Annual,Analysis & Reporting,Capital Projects Admin
External,1,Data Support Analyst,"Technology, Data & Innovation",F,80000,100000,Annual,Analysis & Reporting,Capital Projects Admin
Internal,1,Plumber,Building Operations & Maintenance,F,361.48,361.48,Daily,88-26 Pitkin Avenue,Facilities Management
External,1,CONTRACTS ATTORNEY,"Legal Affairs Policy, Research & Analysis",F,57944,70353,Annual,59-17 Junction Blvd Corona Ny,ACCO Office
Internal,1,CONTRACTS ATTORNEY,"Legal Affairs Policy, Research & Analysis",F,57944,70353,Annual,59-17 Junction Blvd Corona Ny,ACCO Office
Internal,1,Assistant Procurement Liaison,"Finance, Accounting, & Procurement",F,40000,63456,Annual,59-17 Junction Blvd Corona Ny,LongTerm Planning&Sustainablty
External,1,ELECTRICIAN,Building Operations & Maintenance,F,97360.83,97360.83,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
Internal,1,ELECTRICIAN,Building Operations & Maintenance,F,97360.83,97360.83,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
External,1,ASSISTANT ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation
Internal,1,ASSISTANT ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation
Internal,1,Deputy Chief of Quality Assurance,"Engineering, Architecture, & Planning",F,60435,161497,Annual,59-17 Junction Blvd Corona Ny,System Operations Management
External,1,Deputy Chief of Quality Assurance,"Engineering, Architecture, & Planning",F,60435,161497,Annual,59-17 Junction Blvd Corona Ny,System Operations Management
External,1,Clerical Associate (Part-Time),"Public Safety, Inspections, & Enforcement",P,15.0224,24.3377,Hourly,96-05 Horace Harding Expway,W   S/Connections Permitting
Internal,1,Clerical Associate (Part-Time),"Public Safety, Inspections, & Enforcement",P,15.0224,24.3377,Hourly,96-05 Horace Harding Expway,W   S/Connections Permitting
Internal,1,Supervisor (Watershed Maintenance),Building Operations & Maintenance,F,58786,71502,Annual,"1 Murray Hulbert Ave, Staten I",Richmond Chlortn Cty Oprtn Re
External,1,Supervisor (Watershed Maintenance),Building Operations & Maintenance,F,58786,71502,Annual,"1 Murray Hulbert Ave, Staten I",Richmond Chlortn Cty Oprtn Re
External,2,CPM Scheduler II,"Engineering, Architecture, & Planning",F,48535,134433,Annual,96-05 Horace Harding Expway,Water Quality Unit
Internal,2,CPM Scheduler II,"Engineering, Architecture, & Planning",F,48535,134433,Annual,96-05 Horace Harding Expway,Water Quality Unit
Internal,1,Associate Staff Analyst,"Administration & Human Resources Finance, Accounting, & Procurement",F,65731,97873,Annual,130-30 28th Ave,Training Bureau/CIV
External,1,Dam Safety Coordinator,"Engineering, Architecture, & Planning",F,63074,91347,Annual,"20 Nyc Highway 30A Downsville,",Pepacton/Downsville Sub Del
